Time,M24 80,M24 40,M24 20
0,2445,3141,2236
0.5,4078,3864,3100
1,5439,5058,3952
1.5,8550,8352,4581
2,15970,17596,7139
2.5,19787,20914,15588
3,23237,24255,18373
3.5,25993,27510,19345
4,29420,30513,20799
4.5,32379,33462,22090
5,35643,36804,23025
5.5,38646,39406,24611
6,42552,42438,25800
6.5,45436,45192,26564
7,48807,47367,27822
7.5,52515,50592,28821
8,55580,52236,29723
8.5,59476,55117,30768
9,62079,56924,31654
9.5,66268,58575,32582
10,68621,60472,32982
10.5,72032,61728,33620
11,75108,63147,34460
11.5,78381,64786,35094
12,81924,65838,35712
12.5,84158,67144,36119
13,88154,67980,36836
13.5,91360,69351,37194
14,94935,70058,37595
14.5,96854,70512,38098
15,99660,71416,38427
15.5,103298,71980,38796
16,105752,72982,39103
16.5,108263,73313,39448
17,111188,73335,39744
17.5,112503,74103,39726
18,114999,73856,40025
18.5,118305,74254,40212
19,120147,74840,40156
19.5,122076,75279,41058
20,124423,76101,41119
20.5,126454,75625,41310
21,128702,76218,41200
21.5,130546,76044,41169
22,131622,75766,41507
22.5,133128,76117,41827
23,134859,76376,41862
23.5,135865,76711,41688
24,137557,76388,42108
24.5,139115,75896,41827
25,140317,76090,42056
25.5,140020,76147,41876
26,141709,76318,42102
26.5,142319,76124,41912
27,143242,76262,42352
27.5,143787,75928,41924
28,144171,76179,42053
28.5,145423,76260,42427
29,145581,76508,42206
29.5,146450,76244,42317
30,146685,76136,42339
30.5,148226,75612,41961
31,147646,75543,42035
31.5,147702,75879,42418
32,148596,75600,42030
32.5,148878,74582,42316
33,148082,75764,42032
33.5,147921,74849,42004
34,148948,75087,42026
34.5,149024,74506,41856
35,149489,74836,41802
35.5,149296,74044,42054
36,149570,74432,41704
36.5,148658,73966,41814
37,150028,73904,41999
37.5,148510,73416,41535
38,149805,73768,41862
38.5,149707,72768,41736
39,149714,73405,41724
39.5,149283,73002,41644
40,148792,72383,41586
