Time,80 ug/mL,40 ug/mL,20 ug/mL,10 ug/mL
0,4239.666667,3524,3700.666667,3861.333333
1,4958.333333,4403.333333,4282,4588.333333
2,5192.333333,4838,5081.666667,6310.333333
3,5327.333333,5171.666667,5880,7552
4,5395,5519.333333,6510.333333,7943.666667
5,5565,5822,7005,8177.666667
6,5668,6147.666667,7427.333333,8189
7,5778,6436.333333,7784.333333,8301.666667
8,5852,6806.666667,8214.333333,8414.666667
9,5961,7007.333333,8610.333333,8467
10,6056.333333,7252.333333,9154.666667,8643.333333
11,6055.666667,7518.666667,9560.333333,8724.333333
12,6186.666667,7758,10098.33333,8772.666667
13,6286.333333,7951,10502.66667,8922
14,6467.666667,8215.666667,10980,9031.333333
15,6468.666667,8658,11414.66667,9041.333333
16,6484,9076.666667,11918,9219.333333
17,6548.333333,9492.666667,12290.33333,9268
18,6738,10260,12896.66667,9469.333333
19,6937.666667,11035.66667,13297.66667,9369
20,6984,11645.66667,13777.33333,9468.333333
21,7173.666667,12433,14032.66667,9431.333333
22,7201.666667,13147.33333,14331.33333,9566
23,7386.666667,14198,14491.33333,9625.333333
24,7515.333333,14809.33333,14841.66667,9574.333333
25,7595,15701.66667,14947.66667,9776.333333
26,7841.666667,16351.33333,15096.66667,9661.333333
27,7978,17221.66667,15179.66667,9620
28,8152,18113.66667,15473.66667,9771.333333
29,8345.666667,18964.66667,15608,9712.666667
30,8640.666667,20041.66667,15652.66667,9825.333333
31,8893.666667,20515.33333,15772.33333,9903.333333
32,9168,21201.66667,15899.33333,9952
33,9482,21968,15833,9840
34,9836,22813,16090.33333,9833
35,10321.33333,23606.66667,16261,9844
36,10829.66667,24735.33333,16311.33333,9758.666667
37,11363.33333,25363.66667,16394.33333,9979
38,11816,26345.33333,16597,10089.33333
39,12398.66667,27230,16647,10080
40,12768,28058,16960,9897.666667
41,13268.66667,28953.66667,17057.66667,10072.33333
42,14046,29709.66667,17308.33333,10229.33333
43,14559.33333,30355.33333,17483.66667,10073.33333
44,15046.66667,31050.33333,17772,10116.66667
45,15836,31888,17977,10407.33333
46,16368.33333,32490,18131.66667,10242.33333
47,17057,33210,18494,10017.33333
48,17732,33854.66667,18699.66667,10337.66667
49,18521.66667,34357,18728.66667,10312.33333
50,19173.66667,34849.66667,18858.33333,10150
51,20245.33333,35312.33333,19024.33333,10128.66667
52,20909,35760,19186,10220
53,21630.33333,35897.33333,19303,10340.33333
54,22345,36337,19460,10387.33333
55,23016.33333,36771.33333,19510.66667,10274.66667
