Time,Buffer,Buffer,Buffer,EAS 80,EAS 40,EAS 20,EAS 10,EAS 5
0,2535,2549,2535,3926,3985,4148,3811,2346
0.5,2714,2548,2451,4636,5198,5500,4672,2240
1,2727,2578,2501,4992,5991,6853,6337,2252
1.5,2752,2550,2481,5165,6385,7506,7251,2313
2,2774,2540,2503,5123,6380,8324,8016,2462
2.5,2702,2502,2448,5296,6334,9069,8398,2704
3,2764,2459,2445,5113,6494,9873,8714,3142
3.5,2771,2495,2445,5257,6344,10546,9303,3716
4,2816,2504,2470,5142,6742,11266,9542,4344
4.5,2704,2512,2481,5210,6655,12307,10198,4964
5,2743,2447,2461,5284,6734,13064,10725,5105
5.5,2765,2485,2452,5352,7012,13320,10975,5288
6,2724,2534,2452,5302,7244,14049,11273,5401
6.5,2713,2579,2541,5491,7150,14396,11446,5588
7,2777,2511,2475,5386,7174,14770,11708,5787
7.5,2776,2549,2504,5444,7124,15208,11906,5956
8,2741,2499,2389,5367,7153,15630,12024,6011
8.5,2816,2608,2465,5489,7394,16322,12370,6190
9,2737,2473,2437,5559,7572,16503,12340,6190
9.5,2779,2575,2508,5512,7853,16770,12662,6268
10,2794,2590,2539,5517,8004,16921,12610,6086
10.5,2775,2615,2476,5579,8234,17191,12778,6152
11,2762,2671,2619,5610,8479,17330,12942,6127
11.5,2756,2579,2525,5730,8534,17450,12961,6055
12,2752,2502,2498,5714,8844,17591,13064,6193
12.5,2747,2494,2464,5781,8971,17739,13099,6272
13,2776,2490,2444,5959,8872,18032,13287,6329
13.5,2837,2584,2466,5906,9424,18204,13103,6234
14,2752,2553,2514,6052,9452,17895,13308,6303
14.5,2753,2635,2516,6216,9915,18183,13465,6333
15,2766,2563,2559,6273,10080,18166,13566,6322
15.5,2738,2538,2448,6280,10497,18354,13555,6165
16,2769,2596,2495,6395,10770,18300,13654,6360
16.5,2796,2515,2494,6507,10750,18504,13666,6373
17,2705,2581,2528,6631,11076,18541,13658,6358
17.5,2792,2617,2480,6784,11497,18642,13618,6466
18,2801,2538,2475,6882,11695,18592,13618,6447
18.5,2753,2556,2567,7021,12039,18607,13838,6352
19,2766,2526,2487,6946,12588,18788,13815,6464
19.5,2813,2527,2460,7042,13087,18884,13864,6394
20,2756,2610,2485,7169,13328,18927,13903,6388
20.5,2782,2618,2501,7255,13958,18839,14003,6286
21,2782,2494,2456,7430,14278,18903,13958,6342
21.5,2813,2596,2564,7521,14780,18972,14043,6408
22,2793,2600,2490,7566,15120,19023,14041,6462
22.5,2742,2517,2522,7806,15766,18910,14175,6499
23,2817,2542,2476,7912,16160,19144,14132,6388
23.5,2838,2592,2491,8118,16976,18961,13910,6354
24,2772,2498,2418,8347,17340,19080,14111,6390
24.5,2770,2596,2446,8321,18716,19138,14144,6344
25,2758,2634,2513,8654,18968,19280,14204,6295
25.5,2772,2564,2480,8871,19682,19287,14152,6255
26,2867,2534,2451,9011,20629,19316,14299,6306
26.5,2730,2571,2538,9253,21720,19370,14344,6358
27,2754,2512,2482,9432,22463,19314,14302,6334
27.5,2778,2539,2502,9577,23192,19267,14242,6324
28,2771,2585,2505,9730,24077,19401,14313,6263
28.5,2770,2522,2438,9954,25752,19395,14313,6280
29,2849,2542,2469,10083,26552,19440,14370,6351
29.5,2814,2509,2532,10238,27968,19227,14481,6358
30,2842,2623,2527,10543,29852,19450,14412,6335
30.5,2819,2591,2535,10833,29959,19414,14324,6270
31,2734,2548,2474,10843,31732,19380,14495,6312
31.5,2724,2500,2420,11084,32993,19514,14425,6227
32,2714,2552,2514,11360,34643,19517,14406,6354
32.5,2892,2625,2555,11709,35810,19458,14576,6230
33,2795,2524,2453,11892,37739,19676,14531,6256
33.5,2769,2580,2559,12123,38710,19741,14500,6269
34,2769,2617,2530,12321,40532,19618,14643,6227
34.5,2838,2576,2561,12965,41494,19630,14615,6260
35,2790,2555,2474,13230,43100,19728,14564,6164
35.5,2777,2485,2486,13705,43989,19698,14634,6298
36,2772,2494,2484,13796,45334,19888,14749,6150
36.5,2793,2556,2482,14450,46350,19771,14553,6146
37,2761,2540,2426,14956,47739,19772,14541,6210
37.5,2721,2580,2512,15243,48609,19886,14532,6083
38,2807,2546,2431,15802,49179,19916,14641,6165
38.5,2746,2507,2472,16440,49577,19851,14661,6143
39,2776,2556,2473,16956,50742,19888,14613,6312
39.5,2806,2507,2494,17085,51672,19871,14755,6182
40,2744,2608,2547,17948,51596,19753,14684,6207
40.5,2746,2476,2405,18345,52903,19869,14732,6213
41,2774,2551,2442,18752,53206,19712,14847,6112
41.5,2778,2545,2519,19660,53251,19780,14626,6262
42,2834,2564,2518,19609,53758,19749,14843,6077
42.5,2807,2485,2440,20556,54163,19846,14740,6108
43,2830,2560,2534,20428,54979,19869,14726,6102
43.5,2784,2601,2489,20706,54647,19974,14736,6047
44,2750,2507,2515,21109,54836,19996,14742,6076
44.5,2806,2515,2490,21943,55688,19860,14665,6101
45,2763,2552,2529,22338,55856,19862,14809,6100
45.5,2734,2486,2506,22692,55722,20058,14852,6073
46,2771,2507,2492,23535,55973,19858,14784,6120
46.5,2780,2502,2493,24101,55871,20141,14804,6182
47,2789,2511,2527,25040,56262,19951,14660,6061
47.5,2730,2543,2535,25716,56418,19883,14800,6140
48,2776,2540,2469,26044,56499,19846,14776,6151
48.5,2783,2551,2463,26910,56136,19938,14673,6111
49,2805,2542,2476,27695,56592,20177,14884,6088
49.5,2797,2519,2462,28960,56479,19991,14744,6124
50,2805,2493,2468,29605,56645,19952,14711,6039
50.5,2830,2534,2622,30003,56478,19988,14651,6006
51,2802,2592,2518,31156,57093,20174,14923,6066
51.5,2758,2534,2483,32437,56678,20017,14781,5976
52,2748,2577,2443,33356,56784,19934,14859,6052
52.5,2747,2567,2476,34356,57135,20058,14802,6026
53,2800,2477,2461,35779,57099,19887,14928,6043
53.5,2778,2571,2436,36796,57292,20097,15002,6014
54,2802,2553,2535,38064,56913,20010,14733,5886
54.5,2696,2508,2552,39600,56991,20114,14833,5983
55,2715,2545,2470,40668,56780,20091,14744,6042
55.5,2820,2533,2541,42144,56803,20020,14839,6057
56,2796,2544,2510,43989,56839,20267,14851,5950
56.5,2778,2552,2553,45208,56824,20049,14676,5974
57,2827,2475,2467,47169,57226,20175,14698,5971
57.5,2789,2604,2571,48594,57018,20159,14710,6031
58,2761,2502,2409,50565,57160,20273,14769,5993
58.5,2807,2588,2544,52485,56951,20211,14894,5975
59,2777,2478,2574,54504,57196,20172,14820,5902
59.5,2836,2545,2451,55448,56711,19955,14816,5993
60,2768,2532,2475,57061,57308,20164,14752,5919
60.5,2738,2471,2457,59720,57223,20140,14872,5972
61,2752,2472,2470,60456,56615,19983,14919,5866
61.5,2758,2542,2517,62285,57318,20151,14952,5820
62,2734,2518,2454,64492,57020,20133,14828,5956
62.5,2758,2544,2528,66115,57027,20213,14860,5871
63,2778,2476,2502,68116,56790,20066,15012,5890
63.5,2836,2552,2462,68990,56912,20154,14774,5915
64,2782,2529,2493,70780,56917,20006,14920,5865
64.5,2778,2494,2468,72953,56779,20074,14706,5982
65,2770,2635,2490,74062,57407,20091,14719,5854
65.5,2705,2513,2433,76175,56900,19937,14867,5868
66,2782,2465,2425,75932,56867,20266,14798,5940
66.5,2773,2562,2444,77667,57563,20062,14793,5839
67,2800,2523,2532,78584,56918,19925,14733,5801
67.5,2768,2599,2459,80043,56828,19742,14803,5834
68,2758,2466,2436,80732,57088,19744,14688,5782
68.5,2770,2598,2545,81518,57468,19847,14559,5796
69,2717,2505,2461,82041,57230,20174,14833,5798
69.5,2746,2549,2451,82851,57206,19926,14614,5860
70,2787,2597,2485,83359,56766,20039,14861,5764
70.5,2818,2542,2527,83609,56873,20084,14553,5765
71,2802,2542,2430,84291,56414,20066,14690,5822
71.5,2792,2424,2486,84254,56904,19984,14691,5734
72,2774,2520,2462,84948,57256,20011,14762,5795
72.5,2748,2449,2452,84990,57138,20130,14692,5799
73,2798,2564,2508,85202,56763,20208,14820,5819
73.5,2746,2440,2406,85804,56534,19960,14590,5674
74,2763,2469,2451,85362,56887,20020,14740,5677
74.5,2811,2476,2486,85094,56364,20044,14562,5770
75,2782,2456,2434,86782,56593,20119,14690,5834
75.5,2814,2549,2454,86286,56690,19726,14634,5698
76,2805,2497,2414,86716,56611,20016,14590,5666
76.5,2767,2475,2374,87026,56404,19974,14574,5812
77,2780,2624,2550,86577,57046,20114,14749,5761
77.5,2771,2567,2480,87183,56746,20026,14639,5792
78,2720,2503,2454,87119,57032,20134,14614,5767
78.5,2782,2529,2535,86540,56356,19939,14643,5736
79,2790,2465,2445,86697,56557,20098,14588,5728
79.5,2739,2538,2412,87110,56715,19813,14606,5658
80,2828,2501,2441,86459,56120,19937,14567,5768
80.5,2795,2489,2435,86749,56481,19920,14610,5718
81,2758,2493,2412,86878,57066,20091,14610,5780
81.5,2774,2454,2420,87351,56575,19832,14422,5664
82,2754,2494,2474,87097,57040,19723,14608,5698
82.5,2768,2564,2406,85707,56362,19950,14546,5755
83,2770,2580,2485,87256,56324,19844,14551,5678
83.5,2756,2477,2438,86579,56536,19977,14511,5765
84,2809,2592,2474,87133,56662,19980,14505,5748
84.5,2795,2502,2385,86333,56616,19884,14479,5656
85,2738,2494,2446,87219,56528,19851,14608,5722
85.5,2725,2438,2417,86796,56623,19984,14599,5696
86,2745,2510,2532,87017,56534,19841,14558,5702
86.5,2796,2592,2504,86692,56340,19931,14616,5584
87,2773,2536,2439,86949,56682,19906,14630,5709
87.5,2767,2528,2554,87084,56272,19906,14658,5696
88,2742,2542,2403,86406,56179,19961,14519,5682
88.5,2759,2552,2448,86406,56054,19724,14492,5676
89,2754,2430,2377,86509,55783,19845,14453,5601
89.5,2775,2503,2514,86682,56470,19577,14573,5622
90,2721,2442,2450,85993,56636,19701,14540,5575
90.5,2720,2448,2365,86626,56334,19948,14610,5626
91,2766,2519,2404,86424,56495,19920,14499,5618
91.5,2756,2399,2420,86253,55888,19826,14539,5627
92,2799,2572,2492,86523,56378,19816,14559,5590
92.5,2747,2498,2389,86176,56198,19762,14606,5612
93,2788,2466,2455,86257,56133,19687,14526,5639
93.5,2749,2530,2436,86206,56372,19923,14648,5610
94,2769,2504,2436,86566,55878,19894,14525,5694
94.5,2784,2540,2499,86085,56236,19874,14641,5605
95,2712,2524,2479,85362,56149,19774,14472,5586
95.5,2766,2449,2442,86194,55857,19813,14459,5546
96,2743,2565,2432,86171,55927,19673,14522,5524
96.5,2769,2590,2586,85564,55710,19611,14613,5648
97,2806,2498,2479,84980,55536,19638,14541,5528
97.5,2749,2553,2478,85871,56081,19746,14575,5577
98,2716,2526,2451,86039,55864,19782,14565,5567
98.5,2762,2424,2438,86002,56040,19590,14378,5558
99,2711,2478,2466,85865,55275,19615,14513,5547
99.5,2742,2476,2452,86131,55767,19726,14620,5615
100,2777,2518,2432,84998,56039,19620,14552,5582
100.5,2778,2563,2547,85998,55449,19712,14695,5568
101,2798,2524,2454,85298,55494,19573,14442,5602
