Time,Buffer,Buffer,Buffer,M24 80,M24 40,M24 20,M24 10,M24 5
0,2535,2549,2535,3607,3842,3249,3157,2418
0.5,2714,2548,2451,6987,7016,5820,4584,2444
1,2727,2578,2501,8993,8757,7403,6316,2614
1.5,2752,2550,2481,10686,10132,7924,6336,3516
2,2774,2540,2503,12484,12271,8716,6700,5641
2.5,2702,2502,2448,14500,14039,9550,7048,4737
3,2764,2459,2445,16402,15822,10356,7453,4515
3.5,2771,2495,2445,18249,17954,11251,7880,4682
4,2816,2504,2470,19980,19791,12187,8433,4777
4.5,2704,2512,2481,22326,21868,13467,8741,5089
5,2743,2447,2461,24468,23606,14142,9062,5154
5.5,2765,2485,2452,26366,25835,15002,9528,5428
6,2724,2534,2452,28674,27862,15650,9878,5483
6.5,2713,2579,2541,30709,29649,16620,10130,5560
7,2777,2511,2475,32486,31527,17398,10470,5786
7.5,2776,2549,2504,34982,33406,18126,10954,5754
8,2741,2499,2389,36774,35186,18854,11087,5848
8.5,2816,2608,2465,39214,36776,19339,11313,5903
9,2737,2473,2437,41077,38142,20110,11647,5964
9.5,2779,2575,2508,43655,40127,20890,11766,6059
10,2794,2590,2539,46045,41068,21252,11802,5998
10.5,2775,2615,2476,48396,42810,22044,12159,6083
11,2762,2671,2619,51094,44205,22559,12285,6102
11.5,2756,2579,2525,53769,45022,22911,12426,6081
12,2752,2502,2498,56209,45944,23524,12823,6154
12.5,2747,2494,2464,58407,47364,24098,12902,6113
13,2776,2490,2444,61444,48569,24494,13028,6166
13.5,2837,2584,2466,63979,49609,24846,13301,6225
14,2752,2553,2514,66070,50218,25135,13165,6195
14.5,2753,2635,2516,67791,50776,25526,13218,6267
15,2766,2563,2559,69112,51405,25990,13506,6344
15.5,2738,2538,2448,71620,51988,26319,13548,6297
16,2769,2596,2495,72870,52664,26577,13727,6329
16.5,2796,2515,2494,75798,53785,27028,13844,6336
17,2705,2581,2528,76691,54003,27058,13866,6397
17.5,2792,2617,2480,78708,54886,27310,13865,6376
18,2801,2538,2475,79940,55086,27562,13831,6284
18.5,2753,2556,2567,80467,55087,27668,14142,6350
