Time,blank,blank,blank,EAS 80,EAS 80,EAS 80,EAS 40 ,EAS 40,EAS 40,EAS 20,EAS 20,EAS 20,EAS 10,EAS 10,EAS 10,EAS 5,EAS 5,EAS 5
0,2536,2377,2369,3454,3036,3110,3687,3076,3246,3319,3317,3491,2584,2692,2539,2260,2343,2277
0.5,2582,2434,2410,4128,3850,4017,4460,4204,4316,4771,4571,4467,3131,3208,2963,2179,2230,2162
1,2558,2348,2367,4743,4426,4572,5496,5245,5410,6373,6288,6182,4746,4885,4312,2186,2285,2206
1.5,2585,2368,2345,5115,4897,4972,6007,5967,6019,7312,7193,7138,6205,6326,6023,2278,2341,2324
2,2540,2310,2318,5466,5114,5357,6529,6332,6372,7794,7723,7806,7206,6967,6734,2333,2394,2353
2.5,2500,2340,2277,5640,5312,5562,6857,6679,6660,8332,8020,8206,7459,7319,7248,2391,2471,2389
3,2495,2250,2288,5908,5466,5772,7207,7128,7059,9075,8557,8988,7696,7534,7378,2462,2532,2464
3.5,2478,2328,2246,6094,5700,5914,7622,7459,7337,9616,9336,9387,7923,7844,7504,2511,2564,2518
4,2510,2301,2258,6235,5890,6110,7906,7961,7529,10111,10152,10043,7968,7892,7683,2536,2594,2620
4.5,2551,2252,2260,6325,5938,6363,8288,8431,7854,10729,10740,10494,8256,8294,7856,2591,2629,2621
5,2560,2358,2326,6603,6290,6487,8784,8757,8202,11212,11050,11254,8547,8565,8264,2622,2646,2632
5.5,2499,2278,2285,6773,6422,6595,9410,9312,8553,12202,11526,11600,8528,8533,8392,2664,2688,2702
6,2558,2326,2268,6998,6675,6896,9700,9820,8867,12602,12384,12710,8872,8802,8610,2663,2734,2628
6.5,2514,2350,2224,7206,6885,7004,10259,10255,9363,13305,12722,12884,9202,9022,8946,2676,2712,2686
7,2495,2311,2276,7528,7230,7460,10745,10878,9890,13728,13357,13628,9178,9304,9005,2689,2704,2726
7.5,2524,2348,2217,7811,7410,7955,11624,11615,10487,14142,14307,14447,9846,9194,9128,2724,2672,2737
8,2533,2441,2364,7865,7518,8243,12268,12186,10872,14874,14439,14426,10014,9524,9217,2734,2695,2702
8.5,2501,2347,2238,8178,7836,8502,12659,12603,11193,15268,15001,15029,9940,9684,9580,2685,2729,2749
9,2462,2310,2242,8548,8165,9064,13006,12984,11598,15464,15579,15495,10243,9868,9733,2721,2720,2777
9.5,2526,2278,2212,8878,8346,9384,13313,13361,12452,16094,15666,16014,10264,10093,9810,2686,2672,2704
10,2501,2305,2269,9236,8665,9663,14242,13904,12934,16557,16216,16345,10701,10086,9932,2700,2646,2724
10.5,2490,2288,2242,9502,8955,9746,14934,14648,13509,17044,16558,16728,10545,10389,9995,2694,2631,2732
11,2565,2357,2271,9896,9317,9852,15822,15392,14011,17198,16841,16937,10867,10124,10115,2716,2631,2690
11.5,2462,2309,2298,10291,9821,10314,16530,15928,14820,17843,17340,17460,10974,10635,10435,2684,2601,2760
12,2512,2335,2311,10475,10104,10569,17006,16534,15573,18136,17373,17800,11194,10426,10559,2651,2624,2669
12.5,2448,2298,2265,10868,10376,10816,17801,17174,16096,18386,17940,17901,11219,10640,10523,2630,2641,2711
13,2504,2366,2335,11134,10571,11156,18898,18019,16711,18502,17947,18318,11330,10803,10626,2610,2670,2619
13.5,2476,2282,2280,11348,10722,11339,19741,18924,17253,18622,18255,18426,11365,10744,10750,2648,2679,2672
14,2479,2308,2299,11545,10886,11624,20173,19525,18073,18828,18348,18633,11389,10862,10742,2607,2707,2619
14.5,2480,2290,2229,11784,11151,11685,21492,20287,18724,18943,18788,18598,11534,10846,10832,2685,2716,2589
15,2507,2305,2208,11848,11331,11935,22430,21310,20453,18932,18699,18728,11437,10664,10890,2610,2901,2583
15.5,2508,2274,2230,12112,11488,12281,23344,22030,21230,19451,19193,18848,11625,11058,10932,2812,3048,2656
16,2472,2282,2236,12544,11825,12534,24052,22734,21414,19685,19062,18940,11629,11243,11014,2937,3346,2620
16.5,2499,2255,2286,12886,12088,13058,24821,24243,22756,19473,19337,18829,11585,10806,11029,3181,3981,2624
