Time,EAS 40 ,EAS 20,EAS 10
0,3687,3319,2584
0.5,4460,4771,3131
1,5496,6373,4746
1.5,6007,7312,6205
2,6529,7794,7206
2.5,6857,8332,7459
3,7207,9075,7696
3.5,7622,9616,7923
4,7906,10111,7968
4.5,8288,10729,8256
5,8784,11212,8547
5.5,9410,12202,8528
6,9700,12602,8872
6.5,10259,13305,9202
7,10745,13728,9178
7.5,11624,14142,9846
8,12268,14874,10014
8.5,12659,15268,9940
9,13006,15464,10243
9.5,13313,16094,10264
10,14242,16557,10701
10.5,14934,17044,10545
11,15822,17198,10867
11.5,16530,17843,10974
12,17006,18136,11194
12.5,17801,18386,11219
13,18898,18502,11330
13.5,19741,18622,11365
14,20173,18828,11389
14.5,21492,18943,11534
15,22430,18932,11437
15.5,23344,19451,11625
16,24052,19685,11629
16.5,24821,19473,11585
17,25844,19500,11788
17.5,26744,19616,11816
18,27662,19992,11714
18.5,28587,20136,11678
19,29751,19982,11736
19.5,30447,20169,11798
20,31283,20244,11730
20.5,31837,20192,12032
21,32968,20436,11901
21.5,33410,20270,11778
22,33755,20184,11914
22.5,34376,20287,11946
23,34852,20343,11817
23.5,35592,20385,12017
24,35655,20442,12091
24.5,36371,20487,12054
25,36776,20328,11884
25.5,36861,20318,11956
26,37106,20434,11969
26.5,37475,20610,11959
27,37678,20322,11983
27.5,37864,20525,12044
28,37935,20567,11869
28.5,38642,20701,12058
29,38227,20528,12094
29.5,38779,20584,12031
30,38938,20533,12080
30.5,38916,20786,12094
31,39370,20589,12071
31.5,39408,20580,12147
32,39406,20628,11991
32.5,39527,20730,11922
33,39382,20683,11940
33.5,39623,20748,12092
34,39940,20598,12064
34.5,39630,20509,11914
35,39757,20508,12012
35.5,39984,20706,12065
36,39996,20678,11974
36.5,40023,20692,12102
37,40072,20467,11966
37.5,39831,20707,12064
38,39847,20721,12142
38.5,40238,20595,11989
39,40094,20662,11972
39.5,39930,20553,12003
40,40038,20440,12044
40.5,40106,20473,12014
41,40119,20586,12072
41.5,40079,20545,12120
42,40215,20612,11997
42.5,40630,20559,12008
43,40258,20594,11970
43.5,40213,20603,11896
44,40267,20628,11981
44.5,40215,20613,11963
45,40450,20530,12057
45.5,39910,20480,12094
46,40299,20555,11962
46.5,40209,20431,11992
47,40002,20634,11993
47.5,40202,20586,12036
48,40078,20436,11963
48.5,39986,20399,11970
49,39975,20522,12001
49.5,39842,20341,12008
50,39801,20241,12018
50.5,39755,20329,11909
51,39902,20439,11940
51.5,39909,20652,12019
52,39832,20185,11880
52.5,40008,20466,11966
53,40065,20520,12015
53.5,39845,20452,11983
54,40074,20383,11912
54.5,39910,20369,12002
55,39803,20283,11911
55.5,39683,20408,11926
56,39726,20268,11908
56.5,39898,20090,11844
57,39744,20288,11882
57.5,39462,20231,11885
58,39645,20216,11760
58.5,40024,20248,11887
59,39982,20286,11857
59.5,39636,20350,11866
60,39974,20338,11984
60.5,39756,20302,11868
61,39678,20109,12074
61.5,39216,20303,11907
62,39750,20170,12015
62.5,39652,20161,11998
63,39320,20043,11788
63.5,39586,20476,11957
64,39481,20178,11872
64.5,39614,20291,11902
65,39642,20199,11868
65.5,39373,20108,11790
66,39484,20341,11766
66.5,39235,20123,11617
67,39039,20288,11862
67.5,39033,20213,11720
68,39357,20103,11839
68.5,39303,20175,11709
69,39597,20266,11869
69.5,39454,20357,11871
70,39528,20202,11919
70.5,39711,20110,11840
71,39454,19985,11900
71.5,39270,20282,11917
72,39126,20047,12019
72.5,39357,20162,11808
73,39227,20007,11863
73.5,39175,20117,11887
74,39006,20079,11776
74.5,39013,20044,11866
75,39067,20108,11832
