Time,Blank,Blank,Blank,EAS 80,EAS 80,EAS 80,EAS 40,EAS 40,EAS 40,EAS 20,EAS 20,EAS 20,EAS 10,EAS 10,EAS 10,EAS 5,EAS 5,EAS 5
0,2574,2564,2556,4211,4186,4012,4084,4886,4341,5862,5474,6460,2971,3619,2931,2358,2381,2347
0.5,2732,2483,2506,4346,4110,4305,4809,5249,5047,7230,6590,7267,3937,4824,4006,2306,2300,2254
1,2681,2557,2505,4940,4718,4770,6223,6146,6572,9706,9107,9362,4712,5462,4721,2423,2338,2353
1.5,2664,2461,2423,5496,5512,5448,7216,6983,7977,10862,10554,10480,6026,6474,6052,2437,2362,2364
2,2669,2436,2415,6096,6126,6226,8194,7668,9812,11138,11103,11111,7990,8748,8189,2598,2395,2436
2.5,2655,2485,2446,6564,6670,6858,9305,8777,10879,11466,11545,11114,9913,10680,9923,2686,2478,2441
3,2615,2619,2535,6891,7324,7324,10239,9570,11253,11660,11739,11661,10451,11018,10667,2809,2497,2540
3.5,2615,2448,2475,7285,8051,7820,10718,9927,11559,11863,12052,12075,10519,10938,10691,2908,2592,2590
4,2644,2436,2477,7719,8942,8278,11561,10215,11901,12174,12118,12127,10453,10805,10750,2978,2675,2714
4.5,2596,2390,2400,8035,9476,8916,11652,10332,12186,12428,12406,12052,10392,10734,10534,3090,2756,2732
5,2623,2476,2411,8644,9710,9360,11708,10509,12646,12924,12936,12478,10497,10697,10525,3125,2812,2800
5.5,2611,2456,2412,8916,10099,9616,12148,10977,13140,13132,13362,13149,10429,10584,10422,3110,2897,2878
6,2612,2472,2396,9355,10282,9892,12435,11650,13520,13394,14262,12736,10374,10487,10342,3168,2970,2932
6.5,2570,2539,2434,9942,10438,10059,12964,12142,14215,14046,14372,13800,10440,10394,10380,3149,2994,3010
7,2567,2455,2422,10125,10800,10280,12936,12664,14802,14514,14936,13736,10543,10677,10352,3199,3002,3017
7.5,2602,2462,2442,10289,11028,10493,13345,13241,15170,14578,15075,14577,10539,10987,10453,3221,3064,3040
8,2626,2508,2500,10470,11265,10859,13550,13815,16068,14921,15579,14270,10693,10859,10484,3224,3047,3148
8.5,2546,2456,2487,10714,11436,11262,14283,14551,16814,15330,15837,15486,10791,10856,10560,3209,3046,3084
9,2615,2469,2420,11046,11715,11541,14535,15270,17522,15778,16183,15138,10911,10928,10604,3193,3119,3127
9.5,2631,2418,2459,11330,12236,12070,15405,15658,18324,16288,16682,15473,10825,11097,10694,3221,3135,3118
10,2632,2429,2462,11883,12536,12698,15880,16830,19112,16256,16662,15640,10897,11076,10900,3223,3154,3179
10.5,2622,2460,2438,12348,12728,12940,16515,17400,19514,17134,17226,15698,10981,11264,10849,3159,3170,3159
11,2558,2397,2422,12872,13491,13382,17109,18309,20982,17116,17577,16517,11384,11207,10908,3193,3198,3139
11.5,2633,2388,2463,13662,14111,13989,17946,19064,21903,17422,17587,17287,11235,10973,11273,3215,3206,3178
12,2614,2518,2485,13886,14645,14310,18713,20077,22308,17694,18154,17598,11172,11344,11155,3195,3161,3178
12.5,2562,2604,2503,14156,14872,14746,19141,20180,22896,17855,18251,16924,11538,11646,11095,3212,3258,3158
13,2637,2458,2427,14698,15494,15549,20035,21147,23788,18474,18294,17239,11439,11971,11533,3254,3173,3203
13.5,2579,2480,2439,14920,16015,15648,20489,22286,24300,18154,18593,17246,11483,12192,11505,3157,3229,3139
14,2617,2460,2442,15349,16574,16827,21010,22590,24750,18218,18920,17837,11728,12157,11286,3165,3214,3155
14.5,2598,2414,2472,15628,17380,17084,21860,23683,25470,18714,18536,17742,11315,12006,11402,3268,3256,3210
15,2558,2398,2427,16404,17908,18212,22867,24537,26474,18741,18937,18174,12068,11625,11879,3300,3255,3192
15.5,2561,2491,2428,17189,18566,18821,23378,24882,27153,19387,19064,18357,12024,11515,11728,3258,3336,3175
16,2626,2422,2411,18198,18772,19611,23988,25985,27656,18835,18996,17982,11870,11711,11551,3370,3364,3252
16.5,2622,2421,2474,18672,19620,20700,24512,26813,28474,19302,18950,18385,11927,12014,11749,3478,3434,3243
17,2612,2400,2471,19041,20749,21293,25588,27947,29106,19545,19271,18048,11884,12023,12234,3592,3454,3200
17.5,2552,2462,2484,20386,21435,22601,26186,28883,30176,19541,19096,18654,12073,11752,12387,3711,3498,3224
18,2572,2490,2434,22101,22190,23197,26862,29300,30866,19344,18962,18178,12257,11776,12291,3855,3582,3229
18.5,2581,2441,2384,23351,23048,24581,27712,29872,31227,19698,19174,18826,12304,12228,12085,3977,3628,3220
19,2572,2443,2410,23456,23988,25526,28426,31096,31425,19709,19218,18265,12143,12506,12140,4099,3746,3250
19.5,2595,2429,2348,24844,24841,26552,29175,31602,32023,19864,19206,19108,11928,12166,12165,4204,3899,3212
20,2592,2473,2430,24997,25435,27399,29870,32093,32455,19541,19566,19112,12296,11830,12525,4452,3972,3230
20.5,2598,2418,2420,25977,25836,27840,30407,32471,33033,19812,19544,18783,12278,11832,12329,4617,4014,3285
21,2576,2431,2448,26553,26638,28651,30456,32318,32985,19790,19581,18580,12353,11809,12294,4990,4196,3264
21.5,2564,2460,2393,27559,28288,29578,31145,33383,34360,19994,19508,19020,12161,12499,12324,5516,4357,3289
22,2520,2396,2358,28059,28664,30611,31733,34142,34406,19870,19532,19282,12079,12578,12466,6370,4481,3286
22.5,2582,2406,2396,29439,30293,31801,32325,34633,35033,20022,19404,19187,12052,12181,12427,6865,4690,3282
23,2567,2341,2352,30783,30648,33092,32714,35239,35246,19930,19597,19178,12014,12191,12275,6898,4994,3286
23.5,2534,2403,2403,31438,31596,34353,33112,35324,35976,20118,19546,18896,12118,12346,12579,7058,5288,3297
24,2585,2382,2499,32328,32212,34916,33984,35812,35897,19905,19462,19008,12117,12532,12439,7117,5848,3288
24.5,2591,2389,2388,32912,33340,35662,33892,36572,35948,19978,19571,19237,11981,12588,12482,7249,6684,3351
25,2562,2388,2416,33963,34311,36575,34705,36323,35795,19866,19604,19347,12018,12353,12618,7343,6923,3319
25.5,2570,2427,2405,35312,35283,37750,35324,37382,36742,20114,19582,19057,12029,12092,12536,7471,7078,3458
26,2561,2396,2397,36166,36513,38855,35473,36996,36781,19962,19580,19206,12002,12337,12416,7583,7143,3455
26.5,2594,2460,2394,37317,37180,39874,35432,37554,37070,19802,19388,19184,11848,12527,12373,7531,7278,3504
27,2567,2344,2354,37886,37857,40885,35747,37888,37332,19788,19492,18718,12102,12154,12466,7684,7314,3486
27.5,2572,2427,2428,38848,38472,40778,35539,37799,37002,19786,19532,20265,11866,12157,12454,7634,7419,3556
28,2566,2454,2475,40044,39365,42496,35820,37811,37348,19922,19729,18986,11830,12276,12581,7792,7357,3608
28.5,2515,2496,2491,41357,40565,44028,36711,38255,37488,19905,19493,19247,12077,12426,12418,7699,7457,3582
29,2488,2437,2494,42386,41311,44364,36887,38018,37528,19813,19604,18867,11916,12556,12438,7755,7513,3658
29.5,2557,2394,2404,42947,42100,45003,36944,38270,37445,19703,19525,19142,11973,12191,12467,7765,7418,3703
30,2510,2360,2406,44177,43006,46634,37136,38590,37793,19755,19594,18962,12082,12248,12419,7878,7560,3781
30.5,2490,2512,2523,44864,43781,47422,37228,38227,37823,19650,19544,19054,11982,12422,12515,7798,7470,3852
31,2538,2392,2397,46094,45098,48992,37453,38216,37658,19771,19507,18914,11694,12588,12462,7909,7604,3899
31.5,2571,2362,2427,46742,45176,49632,37734,38780,37443,19782,19454,18994,11880,12215,12272,7886,7604,3996
32,2514,2366,2387,47446,46137,50000,37777,38831,37632,19752,19495,19250,12020,12454,12417,7780,7677,4033
32.5,2522,2393,2339,48230,47174,51139,38086,39001,38013,19815,19318,19443,12165,12205,12332,7929,7559,4134
33,2571,2419,2359,49144,48268,51924,37512,39144,37805,19538,19276,19206,12043,12330,12572,7916,7523,4232
33.5,2545,2299,2363,51070,49295,53484,37759,38970,38219,19725,19338,18785,11840,12488,12723,7858,7555,4285
34,2535,2367,2310,51688,49635,54140,37448,38924,37685,19816,19294,18847,11872,12472,12528,7941,7578,4390
34.5,2535,2371,2372,52331,50597,54704,37939,38993,37662,19792,19480,18970,12114,12346,12476,7912,7557,4618
35,2528,2416,2351,52788,51761,55594,37774,39126,37902,19697,19307,19150,12186,12286,12356,7938,7580,4696
35.5,2530,2390,2351,54904,52439,57062,37750,39280,37798,19548,19296,18661,12125,12489,12402,7910,7550,4978
36,2496,2365,2284,55700,53496,58614,37732,38753,37862,19495,19135,18574,11959,12468,12402,7931,7564,5164
36.5,2493,2358,2388,56136,54360,58250,37812,39312,37694,19504,19263,18642,11960,12424,12334,7832,7537,5489
37,2503,2364,2381,56714,54818,59242,37586,39360,37811,19338,19227,18827,11726,12300,12401,7818,7585,5862
37.5,2524,2412,2344,57425,56011,60794,38358,38983,37742,19539,19070,18930,11888,12406,12386,7964,7578,6179
38,2548,2430,2440,58636,56870,62194,38171,38966,37702,19573,19124,19189,11985,12292,12296,7884,7629,6308
38.5,2515,2420,2362,59702,57667,63526,38005,39060,37616,19740,19163,19668,11822,12414,12328,7966,7604,6544
39,2544,2354,2363,60894,58738,64143,38044,39196,37730,19556,19092,18760,11812,12316,12400,7952,7573,6458
39.5,2474,2460,2434,61278,59051,64216,38088,38851,37576,19534,19014,19084,12270,12300,12524,7924,7649,6546
40,2486,2358,2354,62197,60263,65361,38013,38710,37811,19552,19099,18325,11962,12349,12244,7825,7521,6442
40.5,2500,2434,2395,63732,61068,66142,37736,38922,37509,19383,19066,18457,11741,12350,12381,7870,7589,6619
41,2514,2313,2330,64757,62137,67476,37815,38920,37609,19488,19198,18574,11779,12270,12362,7960,7574,6638
41.5,2528,2354,2326,65968,63437,68789,37668,38751,37614,19216,19037,18404,11906,12441,12427,7968,7515,6569
42,2498,2446,2389,66543,63746,69093,37630,38876,37276,19400,19006,18873,12015,12384,12287,7963,7507,6614
42.5,2534,2356,2287,67234,64651,69774,37511,38592,36962,19470,18956,18944,11816,12451,12406,7802,7364,6470
43,2450,2454,2446,67961,64888,70250,37516,38583,36822,19372,18947,18373,11891,12242,12272,7864,7568,6579
43.5,2459,2345,2336,68642,65889,70905,37675,38639,37247,19527,19142,18668,11831,12275,12520,7916,7542,6615
44,2485,2325,2298,70119,67009,72111,37639,38436,37289,19318,18928,18316,11892,12247,12288,7847,7425,6598
44.5,2548,2342,2387,70848,67616,72873,37554,38538,37428,19548,18963,19010,11814,12371,12327,7849,7432,6587
45,2503,2332,2267,71380,68686,72951,37928,38657,37303,19011,19072,19003,12034,12466,12492,7786,7422,6452
45.5,2508,2284,2316,72137,68939,74006,37373,38693,37247,19192,18844,18200,11952,12279,12366,7829,7386,6490
46,2464,2336,2329,72920,69973,74658,37614,38476,36735,19059,19170,18307,12044,12346,12295,7722,7333,6495
46.5,2540,2350,2327,74090,70556,75333,37280,38111,36861,19418,18886,18301,11986,12427,12302,7656,7348,6551
47,2534,2356,2341,75792,71862,76920,37370,38588,36841,19335,19022,18248,11950,12282,12350,7734,7395,6572
47.5,2449,2317,2331,76052,72293,76086,37227,38118,36662,19193,18886,18523,11980,12269,12267,7710,7364,6548
48,2458,2427,2472,76856,72822,76870,37364,38480,36804,19104,19091,18011,11956,12381,12256,7666,7325,6554
48.5,2552,2345,2316,77635,73295,77074,37025,38038,36553,19211,18805,18568,12084,12247,12234,7727,7326,6494
49,2501,2392,2339,78441,73786,77429,36993,38332,36492,19340,18897,18293,11936,12276,12210,7624,7174,6557
49.5,2480,2380,2350,78671,74453,78088,37276,38168,36405,19193,18791,18403,11902,12332,12166,7702,7192,6547
50,2488,2407,2382,79593,74900,79092,36956,37805,36594,19251,18661,19174,11921,12355,12306,7664,7248,6495
50.5,2511,2347,2334,79330,75629,78228,37202,37956,36328,19057,18723,18637,11941,12288,12342,7698,7255,6534
51,2431,2444,2378,79252,75561,78377,37368,38387,36369,19130,18604,18649,11994,12279,12277,7715,7208,6489
51.5,2470,2419,2406,80966,76176,79226,36858,38022,36085,19218,18868,18375,11822,12120,12271,7608,7214,6522
52,2452,2262,2320,82275,76282,79469,37054,37897,36234,19071,18690,18200,11912,12222,12228,7577,7176,6500
52.5,2457,2352,2313,82502,77278,79726,36968,38194,36124,19134,18928,18201,12045,12195,12231,7600,7178,6480
53,2460,2289,2375,82995,77745,80014,36957,37812,36446,19175,18910,18071,11998,12258,12291,7654,7256,6491
53.5,2489,2325,2365,82862,77618,80430,36997,38148,36096,19133,18830,18050,11968,12282,12255,7586,7213,6417
54,2490,2316,2372,83700,77720,80180,37082,38084,36358,18957,18616,18073,11986,12335,12220,7615,7262,6446
54.5,2488,2373,2338,83352,77914,80747,36969,37780,36204,18953,18670,17983,11878,12309,12308,7557,7157,6470
55,2459,2358,2330,83478,77650,79867,36582,37761,36329,19009,18656,18084,11995,12278,12306,7567,7240,6434
55.5,2434,2296,2298,83713,78475,80646,36517,37602,35952,18941,18715,18097,11986,12262,12258,7604,7137,6381
56,2495,2296,2346,84244,78754,81074,36728,37841,36101,19019,18762,18720,11754,12239,12105,7627,7100,6402
56.5,2495,2290,2290,83835,78814,80910,36798,37446,36105,18992,18738,18216,11819,12316,11990,7543,7191,6435
57,2445,2292,2311,84818,78635,81075,36349,37789,35765,19015,18590,18248,11816,12165,12382,7574,7149,6436
57.5,2439,2322,2314,84988,78579,80927,36331,37701,35876,19076,18696,17984,11927,12164,12108,7523,7144,6421
58,2504,2356,2290,85294,78654,81502,36082,37471,36136,19169,18636,17884,11864,12137,12172,7525,7118,6466
58.5,2474,2288,2332,85635,79140,80780,36287,37353,35615,19092,18486,18017,11679,12183,12064,7432,7108,6429
59,2488,2324,2287,84869,78712,81271,36158,37625,35728,19118,18533,17882,11802,12122,12143,7570,7083,6444
59.5,2448,2423,2455,85279,78464,81030,36471,37501,35698,19152,18401,17799,11765,12182,12106,7500,7152,6483
60,2402,2344,2322,85074,79622,81413,36216,37759,35649,18880,18615,17977,11688,12188,12216,7522,7121,6448
60.5,2386,2387,2414,84628,79530,80784,36245,37381,35418,18884,18507,18940,11775,12096,12090,7550,7116,6432
61,2410,2342,2295,85744,79478,81160,36110,37306,35712,18947,18653,17973,11925,12214,12108,7487,7044,6361
61.5,2459,2400,2411,86088,79170,81069,36398,37412,35477,19022,18382,17802,11882,12114,12231,7456,7044,6407
62,2504,2414,2400,85828,78980,80310,35922,37540,35446,18826,18587,17903,11722,12131,12198,7384,7099,6388
62.5,2443,2406,2346,85563,79684,81474,35927,37361,35622,18916,18581,17676,11793,12143,12090,7500,7090,6385
63,2458,2282,2316,85686,79365,81087,35959,37120,35546,18810,18590,17942,11922,12252,12164,7478,7034,6423
63.5,2420,2400,2329,85576,78696,80174,35598,37410,35662,18940,18432,17828,11852,12316,12172,7456,7089,6478
64,2389,2300,2220,85634,79331,80671,35950,37200,35426,18981,18352,17760,11792,12186,12295,7306,7056,6368
64.5,2463,2412,2360,85537,79098,81193,36188,37231,35253,18871,18497,17703,11773,12244,12229,7371,6987,6358
65,2458,2431,2370,85073,79065,80453,36011,36895,35447,18793,18508,17782,11810,12322,12106,7386,7024,6286
65.5,2442,2459,2430,85282,78858,80074,35703,36818,35612,18789,18402,17565,11808,12060,12094,7348,6982,6403
66,2440,2458,2376,85047,78540,79995,35778,37065,35338,18830,18403,17852,11838,12166,12116,7320,7017,6406
66.5,2400,2372,2361,85414,78830,80551,35476,37182,35424,18834,18522,18097,11894,12221,12160,7316,6941,6362
67,2373,2308,2315,86026,79374,79828,35542,37108,35252,18948,18411,18417,11881,12161,12104,7233,6998,6302
67.5,2434,2316,2346,85546,78779,79934,35428,37405,35022,18785,18351,18002,11906,12102,12032,7288,7017,6333
68,2406,2382,2401,85150,78270,80170,35537,37172,35087,18707,18350,17952,11705,12231,12154,7186,6955,6374
68.5,2436,2352,2296,84865,78534,79969,35203,36894,35214,18767,18287,17788,11588,12076,12092,7269,6883,6401
69,2449,2416,2418,84550,78178,79134,35181,36741,35156,18718,18419,17630,11804,12186,12153,7276,6902,6366
69.5,2442,2409,2374,84712,78517,79119,35166,36675,35046,18998,18441,17821,11699,12052,12131,7246,6952,6352
70,2465,2336,2338,85535,77859,79692,35322,36859,34970,18729,18186,17570,11746,12155,11993,7186,6950,6332
70.5,2414,2293,2266,84645,77910,79729,35198,37102,35304,18762,18244,17826,11738,12100,11903,7202,6912,6326
71,2466,2324,2282,85290,78154,79195,35170,37029,35004,18798,18406,17615,11740,12167,12200,7170,6987,6224
71.5,2438,2281,2288,85087,78284,79118,35293,36892,34886,18834,18214,17694,11630,12049,11954,7310,6930,6312
72,2439,2302,2320,85590,78010,78527,35310,36832,34852,18557,18152,17603,11615,11958,12054,7234,6962,6266
72.5,2460,2343,2308,85079,78201,79401,35210,36694,35050,18830,18264,17566,11736,12142,12083,7239,6941,6301
73,2476,2407,2320,84533,77582,79067,35154,36590,35076,18604,18171,17460,11841,12026,12145,7249,6878,6293
73.5,2450,2337,2361,84741,78073,79402,35198,36743,35030,18530,18112,17617,11642,12035,11990,7154,6856,6320
74,2414,2271,2256,83555,77076,78214,34800,36444,34969,18531,18195,17519,11602,12052,12074,7163,6887,6280
74.5,2454,2347,2277,84514,77310,78407,35050,36733,34752,18614,18031,17540,11642,12045,12076,7198,6969,6195
75,2411,2394,2357,84168,77219,78152,34557,36366,34471,18594,18276,18430,11712,11919,12047,7103,6852,6282
75.5,2426,2319,2326,83330,77863,78516,34990,36467,34818,18816,18212,17886,11654,12056,12134,7246,6763,6262
76,2457,2326,2299,85168,77726,79118,34691,36434,34685,18710,18366,17754,11656,12146,12109,7066,6868,6251
76.5,2428,2328,2306,84133,77010,78928,34938,36277,34797,18584,18093,17424,11680,12068,12047,7149,6839,6256
77,2463,2353,2318,84000,76970,78742,34918,36299,34554,18600,18186,17462,11757,12020,12096,7019,6865,6297
77.5,2398,2393,2341,83449,76950,78226,34755,36162,34590,18641,18141,17598,11628,11930,12080,7062,6951,6264
