Time,EAS 20,EAS 10
0,5862,2971
0.5,7230,3937
1,9706,4712
1.5,10862,6026
2,11138,7990
2.5,11466,9913
3,11660,10451
3.5,11863,10519
4,12174,10453
4.5,12428,10392
5,12924,10497
5.5,13132,10429
6,13394,10374
6.5,14046,10440
7,14514,10543
7.5,14578,10539
8,14921,10693
8.5,15330,10791
9,15778,10911
9.5,16288,10825
10,16256,10897
10.5,17134,10981
11,17116,11384
11.5,17422,11235
12,17694,11172
12.5,17855,11538
13,18474,11439
13.5,18154,11483
14,18218,11728
14.5,18714,11315
15,18741,12068
15.5,19387,12024
16,18835,11870
16.5,19302,11927
17,19545,11884
17.5,19541,12073
18,19344,12257
18.5,19698,12304
19,19709,12143
19.5,19864,11928
20,19541,12296
20.5,19812,12278
21,19790,12353
21.5,19994,12161
22,19870,12079
22.5,20022,12052
23,19930,12014
23.5,20118,12118
24,19905,12117
24.5,19978,11981
25,19866,12018
25.5,20114,12029
26,19962,12002
26.5,19802,11848
27,19788,12102
27.5,19786,11866
28,19922,11830
28.5,19905,12077
29,19813,11916
29.5,19703,11973
30,19755,12082
30.5,19650,11982
31,19771,11694
31.5,19782,11880
32,19752,12020
32.5,19815,12165
33,19538,12043
33.5,19725,11840
34,19816,11872
34.5,19792,12114
35,19697,12186
35.5,19548,12125
36,19495,11959
36.5,19504,11960
37,19338,11726
37.5,19539,11888
38,19573,11985
38.5,19740,11822
39,19556,11812
39.5,19534,12270
40,19552,11962
40.5,19383,11741
41,19488,11779
41.5,19216,11906
42,19400,12015
42.5,19470,11816
43,19372,11891
43.5,19527,11831
44,19318,11892
44.5,19548,11814
45,19011,12034
45.5,19192,11952
46,19059,12044
46.5,19418,11986
47,19335,11950
47.5,19193,11980
48,19104,11956
48.5,19211,12084
49,19340,11936
49.5,19193,11902
50,19251,11921
50.5,19057,11941
51,19130,11994
51.5,19218,11822
52,19071,11912
52.5,19134,12045
53,19175,11998
53.5,19133,11968
54,18957,11986
54.5,18953,11878
55,19009,11995
55.5,18941,11986
56,19019,11754
56.5,18992,11819
57,19015,11816
57.5,19076,11927
58,19169,11864
58.5,19092,11679
59,19118,11802
59.5,19152,11765
60,18880,11688
60.5,18884,11775
61,18947,11925
61.5,19022,11882
62,18826,11722
62.5,18916,11793
63,18810,11922
63.5,18940,11852
64,18981,11792
64.5,18871,11773
65,18793,11810
65.5,18789,11808
66,18830,11838
66.5,18834,11894
67,18948,11881
67.5,18785,11906
68,18707,11705
68.5,18767,11588
69,18718,11804
69.5,18998,11699
70,18729,11746
