Time,EAS 40,EAS 20,EAS 10
0,4084,5862,2971
0.5,4809,7230,3937
1,6223,9706,4712
1.5,7216,10862,6026
2,8194,11138,7990
2.5,9305,11466,9913
3,10239,11660,10451
3.5,10718,11863,10519
4,11561,12174,10453
4.5,11652,12428,10392
5,11708,12924,10497
5.5,12148,13132,10429
6,12435,13394,10374
6.5,12964,14046,10440
7,12936,14514,10543
7.5,13345,14578,10539
8,13550,14921,10693
8.5,14283,15330,10791
9,14535,15778,10911
9.5,15405,16288,10825
10,15880,16256,10897
10.5,16515,17134,10981
11,17109,17116,11384
11.5,17946,17422,11235
12,18713,17694,11172
12.5,19141,17855,11538
13,20035,18474,11439
13.5,20489,18154,11483
14,21010,18218,11728
14.5,21860,18714,11315
15,22867,18741,12068
15.5,23378,19387,12024
16,23988,18835,11870
16.5,24512,19302,11927
17,25588,19545,11884
17.5,26186,19541,12073
18,26862,19344,12257
18.5,27712,19698,12304
19,28426,19709,12143
19.5,29175,19864,11928
20,29870,19541,12296
20.5,30407,19812,12278
21,30456,19790,12353
21.5,31145,19994,12161
22,31733,19870,12079
22.5,32325,20022,12052
23,32714,19930,12014
23.5,33112,20118,12118
24,33984,19905,12117
24.5,33892,19978,11981
25,34705,19866,12018
25.5,35324,20114,12029
26,35473,19962,12002
26.5,35432,19802,11848
27,35747,19788,12102
27.5,35539,19786,11866
28,35820,19922,11830
28.5,36711,19905,12077
29,36887,19813,11916
29.5,36944,19703,11973
30,37136,19755,12082
30.5,37228,19650,11982
31,37453,19771,11694
31.5,37734,19782,11880
32,37777,19752,12020
32.5,38086,19815,12165
33,37512,19538,12043
33.5,37759,19725,11840
34,37448,19816,11872
34.5,37939,19792,12114
35,37774,19697,12186
35.5,37750,19548,12125
36,37732,19495,11959
36.5,37812,19504,11960
37,37586,19338,11726
37.5,38358,19539,11888
38,38171,19573,11985
38.5,38005,19740,11822
39,38044,19556,11812
39.5,38088,19534,12270
40,38013,19552,11962
40.5,37736,19383,11741
41,37815,19488,11779
41.5,37668,19216,11906
42,37630,19400,12015
42.5,37511,19470,11816
43,37516,19372,11891
43.5,37675,19527,11831
44,37639,19318,11892
44.5,37554,19548,11814
45,37928,19011,12034
45.5,37373,19192,11952
46,37614,19059,12044
46.5,37280,19418,11986
47,37370,19335,11950
47.5,37227,19193,11980
48,37364,19104,11956
48.5,37025,19211,12084
49,36993,19340,11936
49.5,37276,19193,11902
50,36956,19251,11921
50.5,37202,19057,11941
51,37368,19130,11994
51.5,36858,19218,11822
52,37054,19071,11912
52.5,36968,19134,12045
53,36957,19175,11998
53.5,36997,19133,11968
54,37082,18957,11986
54.5,36969,18953,11878
55,36582,19009,11995
55.5,36517,18941,11986
56,36728,19019,11754
56.5,36798,18992,11819
57,36349,19015,11816
57.5,36331,19076,11927
58,36082,19169,11864
58.5,36287,19092,11679
59,36158,19118,11802
59.5,36471,19152,11765
60,36216,18880,11688
60.5,36245,18884,11775
61,36110,18947,11925
61.5,36398,19022,11882
62,35922,18826,11722
62.5,35927,18916,11793
63,35959,18810,11922
63.5,35598,18940,11852
64,35950,18981,11792
64.5,36188,18871,11773
65,36011,18793,11810
65.5,35703,18789,11808
66,35778,18830,11838
66.5,35476,18834,11894
67,35542,18948,11881
67.5,35428,18785,11906
68,35537,18707,11705
68.5,35203,18767,11588
69,35181,18718,11804
69.5,35166,18998,11699
70,35322,18729,11746
