Time,blank,blank,blank,M24 pH 8.0 NF 80,M24 pH 8.0 NF 80,M24 pH 8.0 NF 80,M24 pH 8.0 NF 40,M24 pH 8.0 NF 40,M24 pH 8.0 NF 40,M24 pH 8.0 NF 20,M24 pH 8.0 NF 20,M24 pH 8.0 NF 20,M24 pH 8.0 NF 10,M24 pH 8.0 NF 10,M24 pH 8.0 NF 10,M24 pH 8.0 NF 5,M24 pH 8.0 NF 5,M24 pH 8.0 NF 5
0,2462,2344,2375,4268,3643,4660,2582,2872,3925,2628,2849,2310,2324,2316,2379,3023,2696,2168
0.5,2505,2356,2405,7390,6355,6523,4558,4168,3870,3830,3986,3016,2812,2607,2492,3357,2573,2190
1,2560,2421,2455,11316,12072,9635,8450,6004,5956,5018,4990,3885,3345,3009,2901,3986,2686,2263
1.5,2533,2423,2458,16879,17643,15924,13715,9966,10530,7319,6776,4921,3927,3530,3252,4526,2944,2472
2,2549,2389,2334,19586,20421,18835,17267,15890,15552,11577,9940,6290,4370,3884,3521,5264,3156,2589
2.5,2558,2328,2371,21854,22610,21004,19498,18926,18769,15406,15265,9344,5140,4234,3821,6216,3420,2768
3,2533,2377,2390,23364,24840,23482,22232,21182,21442,16073,15780,13963,5696,4873,4241,7404,3657,2922
3.5,2525,2396,2468,25767,27486,25889,24954,23239,23625,16947,16308,16336,6467,5374,4458,8980,3976,3080
4,2538,2388,2449,28458,29979,28662,27452,25830,25862,17919,17138,16933,8160,5963,4923,12685,4206,3211
4.5,2572,2344,2384,31381,32478,31205,30336,28327,28510,18718,17878,17872,11076,6878,5536,12262,4566,3402
5,2603,2414,2416,33921,35662,34494,33233,30741,30715,19794,18872,18598,13791,8286,6108,11976,4839,3469
5.5,2604,2349,2415,36894,38453,37582,35929,33502,33562,20951,19636,19265,12960,12465,6850,11585,5240,3678
6,2509,2412,2452,40280,41568,40818,39103,36087,36277,21785,20403,20140,12693,14032,8412,11213,5714,3824
6.5,2534,2304,2444,43562,45622,44507,41449,38889,38425,22603,21166,21293,12539,13188,14424,10633,6297,4106
7,2518,2288,2333,46344,49038,47559,44127,41015,41188,23419,21796,21898,12596,12864,13688,10395,7041,4316
7.5,2552,2379,2484,50283,51924,50998,46473,43380,43488,24284,22697,22917,12727,12934,13155,10216,7776,4736
8,2541,2384,2441,52768,55449,53879,48316,45543,45246,24974,23209,23674,12809,12845,12828,10035,9962,4986
8.5,2527,2412,2558,56647,59300,57566,50490,47226,47137,25860,23663,24156,12950,12802,12678,9915,12618,5294
9,2557,2305,2405,60633,62817,61917,52708,49074,48651,26465,24276,24844,12968,12964,12883,9652,12098,5674
9.5,2562,2316,2387,63447,65742,64958,53621,50943,50065,26654,24764,25406,13244,13066,12652,9667,11681,6150
10,2599,2412,2384,67682,70148,68606,55156,51787,51978,27526,25454,26262,13492,13155,12817,9708,11072,6720
10.5,2534,2328,2384,70799,72507,71753,56264,53421,52652,28005,26057,26533,13550,13438,13033,9600,10599,7289
11,2538,2353,2447,73539,76199,74960,57584,54898,53839,28669,26163,27095,13562,13534,13066,9509,10152,8306
11.5,2586,2390,2340,77157,80073,78379,58572,56040,55060,29169,26580,27479,13820,13670,13077,9488,9818,10209
12,2562,2372,2380,80362,82790,80832,59326,57462,56154,29425,27020,28008,14036,13849,13265,9402,9754,12453
12.5,2588,2304,2406,83736,85690,84611,60445,58194,56635,30030,27555,28386,14005,13914,13194,9443,9420,11916
13,2571,2316,2452,86783,88616,87144,60996,58697,57619,30647,27797,28478,14201,13916,13477,9411,9251,11256
13.5,2561,2419,2494,89996,91095,89879,62037,59455,58400,30736,27968,29539,14275,14134,13493,9384,9238,10940
14,2550,2280,2355,92288,93851,93080,63244,59894,58566,30896,28551,29364,14444,14082,13573,9395,9095,10452
14.5,2564,2340,2422,94831,97273,95420,62741,61382,59296,31185,28767,29622,14380,14406,13634,9344,9051,10005
15,2542,2354,2392,97675,99551,98400,64216,61952,59887,31379,28795,29674,14535,14438,13694,9394,8980,9681
15.5,2573,2350,2477,100544,102050,100858,64489,62038,60272,31780,29149,30071,14704,14706,13809,9378,8912,9258
16,2558,2299,2441,102130,103745,102843,64756,62580,60491,32210,29603,30300,14772,14670,13825,9296,8901,9151
16.5,2514,2404,2463,105031,106299,105048,64563,62877,61264,32203,29637,30414,14668,14593,13870,9179,8925,9054
17,2530,2418,2470,107059,107964,106934,65485,63679,61423,32546,29518,30586,14913,14914,13983,9048,8859,8900
17.5,2578,2323,2442,106295,110077,108056,65779,63983,61410,32769,29360,30709,14886,14923,13975,9306,8752,8817
18,2553,2350,2482,109985,111570,110841,65934,64420,61750,32784,29836,30701,14894,15017,14080,9263,8711,8568
18.5,2588,2301,2361,110973,112697,112282,66407,64945,61725,32984,30136,30874,14855,15143,14096,9116,8689,8721
19,2571,2303,2427,113834,115367,113168,66653,64348,62474,32985,30130,30620,15065,15030,14130,9141,8676,8682
19.5,2543,2304,2438,114871,116830,114521,66449,65331,62259,33357,29988,31112,15038,15243,14198,9063,8681,8506
20,2603,2366,2550,114495,118031,116490,66824,65726,62192,33206,30216,31021,15209,15218,14109,9242,8723,8594
20.5,2527,2297,2402,117139,119426,117994,66847,65039,62556,33229,30522,30984,15165,15236,14178,9153,8646,8447
21,2591,2269,2410,118754,120204,118832,66809,65613,62268,33306,30094,31175,15078,15377,14221,9005,8672,8460
21.5,2564,2358,2415,118231,121133,120069,67032,65156,62634,33477,30595,31196,15071,15459,14276,8942,8686,8402
22,2586,2425,2536,119175,121928,120161,66788,66316,62240,33339,30477,31228,15120,15419,14288,9076,8585,8401
22.5,2569,2356,2463,121002,122518,121624,67050,66148,62284,33250,30464,31266,15156,15376,14386,8998,8612,8324
23,2625,2338,2471,121810,124590,122506,67705,66137,62873,33293,30429,31294,15288,15426,14346,9011,8577,8361
23.5,2580,2417,2538,123821,125023,123722,67120,65554,62975,33271,30676,31331,15180,15404,14268,9007,8576,8352
24,2568,2364,2502,122698,124635,123193,67743,65886,62456,33497,30460,31033,15215,15490,14265,8966,8555,8264
24.5,2542,2302,2487,123864,126684,123650,67140,66036,62420,33634,30364,31186,15260,15332,14226,9004,8395,8185
25,2561,2390,2527,125559,127448,125012,67664,65121,62657,33459,30668,31549,15148,15385,14310,8871,8379,8289
25.5,2527,2428,2462,125067,126111,125722,67327,65764,62632,33297,30665,31190,15223,15504,14104,8941,8317,8170
26,2569,2294,2400,126844,127975,125677,67086,65580,62984,33702,30910,31120,15246,15489,14202,8861,8446,8138
26.5,2536,2324,2446,127856,128818,126514,67354,65953,63124,33401,30971,31144,15361,15536,14100,8854,8476,8173
27,2590,2301,2440,127054,129278,125396,66905,64837,62331,33390,30582,31053,15113,15454,14278,8848,8301,8129
27.5,2533,2382,2525,126580,129738,127004,67112,65967,62840,33545,30542,31226,15106,15318,14106,8815,8365,8047
28,2564,2287,2520,128585,130106,127878,67373,65275,62728,33488,30457,30976,15121,15343,14154,8772,8309,8047
28.5,2582,2331,2495,129801,130359,128392,67153,65209,62346,33461,30615,31225,15320,15308,14184,8759,8314,7999
29,2556,2270,2426,128663,129532,128090,66898,66044,62603,33677,30340,31152,15170,15509,14196,8765,8284,7880
29.5,2587,2337,2488,127375,130096,128482,67336,65172,61945,33518,30380,31287,15145,15368,14190,8759,8220,8002
30,2624,2337,2403,127932,131157,129018,67532,65776,62053,33344,30599,31376,15133,15370,14314,8643,8073,7933
30.5,2540,2288,2520,130458,130896,129046,66962,65377,62022,33578,30658,30923,15207,15376,14194,8585,8177,7925
31,2608,2352,2493,128467,130787,128782,66719,65606,61631,33478,30584,30900,15245,15300,14082,8543,8256,7851
31.5,2578,2221,2383,129265,130633,128860,67257,65294,61459,33504,30580,30872,15073,15392,14172,8581,8138,7927
32,2556,2298,2349,129474,130646,128650,66806,64986,62328,33491,30450,31039,15116,15374,13988,8668,8106,7974
32.5,2537,2304,2418,129224,131602,129483,66886,65370,61380,33352,30535,31069,15100,15362,14077,8618,8065,7818
33,2564,2304,2446,129849,131612,129812,66824,64202,61860,33460,30350,30943,15178,15392,14063,8598,8031,7855
33.5,2559,2289,2420,130700,132120,128975,66168,64524,61334,33433,30400,30898,15026,15078,13966,8534,7961,7772
34,2581,2266,2373,130281,131170,128136,66333,64788,61706,33300,30259,30790,15037,15206,14105,8448,7998,7728
34.5,2560,2374,2446,128511,130872,127835,66767,64322,60954,32916,30310,30227,15010,15181,14082,8502,7980,7670
35,2526,2291,2399,130417,131206,129957,66496,65143,61076,33049,30418,30983,14986,15206,14089,8411,8040,7780
35.5,2543,2410,2529,130635,131293,129250,66419,64754,61086,33164,30503,30764,15029,15337,13906,8481,7986,7670
36,2546,2350,2434,129979,132382,129728,66306,65074,60448,32834,30206,30788,15090,15170,14039,8477,8040,7654
