Time,80 ug/mL,20 ug/mL
0,3552,3324
0.216666667,3664,3702
0.433333333,4229,4284
0.65,4571,4948
0.866666667,4906,5509
1.083333333,5260,5953
1.3,5744,5958
1.516666667,5969,6091
1.733333333,6022,6058
1.95,6077,6159
2.166666667,6193,6391
2.383333333,6198,6579
2.6,6308,6636
2.816666667,6398,6890
3.033333333,6460,7089
3.25,6614,7186
3.466666667,6734,7403
3.683333333,6953,7592
3.9,7120,7736
4.116666667,7240,7948
4.333333333,7455,8064
4.55,7570,8286
4.766666667,7846,8352
4.983333333,8024,8635
5.2,8200,8854
5.416666667,8315,8994
5.633333333,8506,9138
5.85,8796,9290
6.066666667,9072,9556
6.283333333,9184,9726
6.5,9440,9982
6.716666667,9590,9967
6.933333333,9810,10206
7.15,10138,10394
7.366666667,10316,10567
7.583333333,10571,10719
7.8,10830,10943
8.016666667,10952,11127
8.233333333,11376,11289
8.45,11648,11368
8.666666667,11988,11499
8.883333333,12189,11754
9.1,12415,11778
9.316666667,12796,12071
9.533333333,13093,12112
9.75,13290,12445
9.966666667,13514,12644
10.18333333,13714,12572
10.4,14138,12729
10.61666667,14561,12874
10.83333333,14624,13032
11.05,15044,13146
11.26666667,15558,13286
11.48333333,15712,13349
11.7,15980,13533
11.91666667,16342,13744
12.13333333,16681,13842
12.35,17070,13922
12.56666667,17382,14048
12.78333333,17674,14080
13,17946,14247
13.21666667,18449,14348
13.43333333,18830,14303
13.65,19130,14584
13.86666667,19414,14793
14.08333333,19745,14691
14.3,19955,14843
14.51666667,20348,14990
14.73333333,20828,15064
14.95,20898,15246
15.16666667,21522,15253
15.38333333,21759,15472
15.6,22089,15486
15.81666667,22424,15464
16.03333333,22711,15627
16.25,23219,15761
16.46666667,23612,15894
16.68333333,23896,15912
16.9,24132,15699
17.11666667,24856,15923
17.33333333,25090,15941
17.55,25436,16169
17.76666667,25708,16074
17.98333333,26308,16359
18.2,26507,16402
18.41666667,26754,16324
18.63333333,27310,16555
18.85,27599,16555
19.06666667,28142,16620
19.28333333,28398,16528
19.5,28703,16682
19.71666667,29014,16812
19.93333333,29233,16818
20.15,29608,16903
20.36666667,29984,16858
20.58333333,30517,16874
20.8,31118,17040
21.01666667,31342,17044
21.23333333,31591,17020
