Time,80,40,20,sd 80,sd 40,sd 20
0,3021.5,3187,2727.5,878.933729,445.4772721,171.8269478
0.5,5129.5,3992,3620,1733.118721,248.901587,517.6021638
1,8878,5239,4293.5,4516.998118,1081.873375,984.9997462
1.5,12653.5,8160.5,5435,7056.218569,2553.362587,1896.460387
2,17656.5,14727.5,7514.5,3909.593393,1644.023266,3430.174996
2.5,21069,19105,11861.5,2179.3031,253.1442277,4813.27586
3,24026,22123,16780,1151.16984,1330.774962,1414.213562
3.5,27082.5,25012,17164,570.6351724,2507.400646,1210.566809
4,30031.5,27772.5,18054.5,74.24621202,2747.109845,1296.12673
4.5,32685.5,30726.5,18939.5,293.4493142,3393.405443,1501.187696
5,35939.5,33571.5,19934,392.4442636,4002.931488,1501.894803
5.5,39069.5,36424,20740,871.8626612,4132.332029,1561.291773
6,42106.5,39435,21570,761.5540033,4734.787007,1650.387227
6.5,45622,42387.5,22485.5,0,4947.626148,1866.054796
7,48983,44746.5,23343,77.78174593,5277.137908,2187.788381
7.5,52365,47741.5,24203.5,623.668181,6168.092452,2130.512732
8,55888,49738.5,24842.5,620.8397539,5933.333001,2310.117854
8.5,59500,52072,25431.5,282.8427125,6853.278923,2501.036685
9,62807.5,54003,26136.5,13.43502884,6970.658649,2631.144333
9.5,65964.5,56022,26692,314.6625176,7182.790683,2726.603748
10,70033,57222,27328.5,162.6345597,7686.250711,2650.943323
10.5,72735,58814.5,27927.5,322.4406922,7627.560849,2645.286468
11,76131,60631,28317.5,96.16652224,8107.686353,3046.92312
11.5,79578,61330,28735.5,700.0357134,7481.189745,3048.337334
12,82750.5,62917,29222,55.86143571,7714.534983,3114.098264
12.5,85511,64100,29539.5,253.1442277,8352.345299,2806.506815
13,88396.5,64988,29886,310.4198769,8896.817521,2954.292132
13.5,92071.5,65827.5,30271,1380.979544,9012.075926,3256.933834
14,94846.5,66665,30756,1407.849601,9575.640031,3118.340905
14.5,97691.5,67648,30912,591.8483759,8861.462182,3033.488091
15,100019.5,68372,31048.5,662.559054,9079.25107,3186.930263
15.5,103288,68445,31509,1750.79639,9060.866294,3337.544007
16,105361.5,69080.5,31744.5,2286.076224,9193.095262,3028.538344
16.5,107570,69466.5,31946,1797.465438,9318.960269,3265.419116
17,109732,70563.5,31911,2500.329578,9736.15327,3384.213055
17.5,112146.5,70615,31992,2926.714967,9379.064346,3722.210096
18,114494.5,71194.5,32346,4135.867563,9580.589778,3549.676042
18.5,115515,71850,32545.5,3985.253819,9765.144648,3407.547579
19,118303,71490.5,32590.5,4152.131019,10101.02037,3479.67247
19.5,119798,72092,32590,4197.385853,9561.497895,3679.783689
20,121612,72341.5,32830,5064.298767,9355.729822,3696.754252
20.5,123488,72302,33103.5,5744.53549,10271.4331,3650.792311
21,125024,72546,32804.5,6816.509371,9804.742628,3833.225861
21.5,125831.5,72482.5,33237.5,6644.682423,10361.23566,3737.059339
22,127431.5,72854.5,32981.5,7783.124341,9246.835378,3541.897867
22.5,128078,73065.5,33126,7863.027407,9782.822318,3764.636503
23,129929,72951.5,33157,7550.48621,9637.158321,3857.974598
23.5,131082,72599.5,33214,8568.719974,9963.841654,3589.274021
24,131794,72484,33118,10124.35489,9330.981085,3758.979649
24.5,132989,72967.5,33296,8916.616511,9802.621308,4146.474165
25,133953.5,72539,33358,9200.16633,10490.63621,3804.234483
25.5,134210.5,72979.5,33431.5,11454.42275,10204.25796,3912.42182
26,135229.5,72700.5,33446,10259.41229,10069.90767,3586.445594
26.5,136284,72894.5,33409.5,10558.51846,9816.763443,3448.559772
27,136895,72183.5,33306,10772.0647,10389.51994,3852.317744
27.5,137336,72728.5,33169.5,10745.19465,9562.205002,3715.846135
28,138044,72514.5,33167,11226.02726,10238.19908,3832.518754
28.5,139043,72628,33290,12281.03058,10492.05042,3783.021279
29,139172,72673.5,33262,13633.01874,9375.528812,4132.332029
29.5,139344.5,72147.5,33052.5,13079.35413,9864.846704,3779.485745
30,139824.5,72270.5,33409.5,12257.69605,9184.609981,3974.647217
30.5,139785,72243.5,33464.5,12570.94436,9710.697426,3968.990363
31,140534,72532.5,33284,13784.33959,9795.55024,3818.376618
31.5,140348,71992.5,33247,13739.08476,9473.109548,3771.707571
32,140571.5,71895,33354,14036.77671,9770.801502,4106.876185
32.5,140679,72026,33256.5,12836.81651,9413.005471,3848.78221
33,141363.5,71426,33117.5,13790.70355,10216.27877,3913.836034
